user_id,month,jar,percent,income,spending_percent,actual_spent_amount
0,1,NEC,50,13700000,109.9,7528000.0
0,1,FFA,20,13700000,97.2,2663000.0
0,1,EDU,5,13700000,113.0,774000.0
0,1,LTSS,5,13700000,130.5,894000.0
0,1,PLAY,15,13700000,95.3,1958000.0
0,1,HEALTH,5,13700000,95.3,653000.0
0,2,NEC,50,13700000,131.6,9015000.0
0,2,FFA,20,13700000,115.3,3159000.0
0,2,EDU,5,13700000,90.6,621000.0
0,2,LTSS,5,13700000,110.9,760000.0
0,2,PLAY,15,13700000,90.7,1864000.0
0,2,HEALTH,5,13700000,90.7,621000.0
0,3,NEC,50,13700000,104.8,7179000.0
0,3,FFA,20,13700000,61.7,1691000.0
0,3,EDU,5,13700000,65.5,449000.0
0,3,LTSS,5,13700000,88.8,608000.0
0,3,PLAY,15,13700000,79.7,1638000.0
0,3,HEALTH,5,13700000,106.3,728000.0
0,4,NEC,50,13700000,81.8,5603000.0
0,4,FFA,20,13700000,71.8,1967000.0
0,4,EDU,5,13700000,129.3,886000.0
0,4,LTSS,5,13700000,95.5,654000.0
0,4,PLAY,15,13700000,101.4,2084000.0
0,4,HEALTH,5,13700000,71.5,490000.0
0,5,NEC,45,13700000,89.1,5493000.0
0,5,FFA,10,13700000,102.2,1400000.0
0,5,EDU,5,13700000,77.0,527000.0
0,5,LTSS,20,13700000,107.5,2946000.0
0,5,PLAY,10,13700000,88.0,1206000.0
0,5,GIVE,10,13700000,94.2,1291000.0
0,6,NEC,45,13700000,88.0,5425000.0
0,6,FFA,10,13700000,137.0,1877000.0
0,6,EDU,5,13700000,99.7,683000.0
0,6,LTSS,20,13700000,78.8,2159000.0
0,6,PLAY,10,13700000,116.5,1596000.0
0,6,GIVE,10,13700000,75.6,1036000.0
0,7,NEC,45,13700000,104.2,6424000.0
0,7,FFA,10,13700000,60.8,833000.0
0,7,EDU,5,13700000,73.4,503000.0
0,7,LTSS,20,13700000,103.9,2847000.0
0,7,PLAY,10,13700000,114.8,1573000.0
0,7,GIVE,10,13700000,103.4,1417000.0
0,8,NEC,45,13700000,97.7,6023000.0
0,8,FFA,10,13700000,94.0,1288000.0
0,8,EDU,5,13700000,70.4,482000.0
0,8,LTSS,20,13700000,85.6,2345000.0
0,8,PLAY,10,13700000,90.8,1244000.0
0,8,GIVE,10,13700000,121.1,1659000.0
0,9,NEC,45,13700000,106.9,6590000.0
0,9,FFA,10,13700000,64.7,886000.0
0,9,EDU,15,13700000,106.5,2189000.0
0,9,LTSS,5,13700000,92.3,632000.0
0,9,PLAY,15,13700000,86.5,1778000.0
0,9,GIVE,10,13700000,112.2,1537000.0
0,10,NEC,45,13700000,120.6,7435000.0
0,10,FFA,10,13700000,118.6,1625000.0
0,10,EDU,15,13700000,83.2,1710000.0
0,10,LTSS,5,13700000,93.8,643000.0
0,10,PLAY,15,13700000,106.6,2191000.0
0,10,GIVE,10,13700000,119.5,1637000.0
0,11,NEC,45,13700000,90.4,5573000.0
0,11,FFA,10,13700000,96.3,1319000.0
0,11,EDU,15,13700000,77.9,1601000.0
0,11,LTSS,5,13700000,76.1,521000.0
0,11,PLAY,15,13700000,116.3,2390000.0
0,11,GIVE,10,13700000,127.1,1741000.0
0,12,NEC,45,13700000,98.6,6079000.0
0,12,FFA,10,13700000,120.1,1645000.0
0,12,EDU,15,13700000,107.2,2203000.0
0,12,LTSS,5,13700000,87.1,597000.0
0,12,PLAY,15,13700000,107.2,2203000.0
0,12,GIVE,10,13700000,130.8,1792000.0
1,1,NEC,55,19400000,99.3,10595000.0
1,1,FFA,15,19400000,131.3,3821000.0
1,1,EDU,5,19400000,47.6,462000.0
1,1,LTSS,5,19400000,116.4,1129000.0
1,1,PLAY,5,19400000,101.7,986000.0
1,1,FAMILY,15,19400000,94.0,2735000.0
1,2,NEC,55,19400000,101.8,10862000.0
1,2,FFA,15,19400000,60.2,1752000.0
1,2,EDU,5,19400000,95.6,927000.0
1,2,LTSS,5,19400000,107.1,1039000.0
1,2,PLAY,5,19400000,129.6,1257000.0
1,2,FAMILY,15,19400000,89.6,2607000.0
1,3,NEC,55,19400000,83.8,8941000.0
1,3,FFA,15,19400000,90.0,2619000.0
1,3,EDU,5,19400000,118.3,1148000.0
1,3,LTSS,5,19400000,106.6,1034000.0
1,3,PLAY,5,19400000,89.4,867000.0
1,3,FAMILY,15,19400000,110.3,3210000.0
1,4,NEC,55,19400000,101.9,10873000.0
1,4,FFA,15,19400000,119.4,3475000.0
1,4,EDU,5,19400000,86.0,834000.0
1,4,LTSS,5,19400000,93.4,906000.0
1,4,PLAY,5,19400000,92.2,894000.0
1,4,FAMILY,15,19400000,70.7,2057000.0
1,5,NEC,45,19400000,105.9,9245000.0
1,5,FFA,10,19400000,105.2,2041000.0
1,5,EDU,10,19400000,100.1,1942000.0
1,5,LTSS,15,19400000,95.3,2773000.0
1,5,PLAY,15,19400000,71.7,2086000.0
1,5,FAMILY,5,19400000,91.6,889000.0
1,6,NEC,45,19400000,93.1,8128000.0
1,6,FFA,10,19400000,84.0,1630000.0
1,6,EDU,10,19400000,96.8,1878000.0
1,6,LTSS,15,19400000,108.1,3146000.0
1,6,PLAY,15,19400000,137.7,4007000.0
1,6,FAMILY,5,19400000,103.5,1004000.0
1,7,NEC,45,19400000,105.2,9184000.0
1,7,FFA,10,19400000,98.5,1911000.0
1,7,EDU,10,19400000,61.6,1195000.0
1,7,LTSS,15,19400000,99.5,2895000.0
1,7,PLAY,15,19400000,101.2,2945000.0
1,7,FAMILY,5,19400000,149.3,1448000.0
1,8,NEC,45,19400000,96.2,8398000.0
1,8,FFA,10,19400000,106.0,2056000.0
1,8,EDU,10,19400000,99.3,1926000.0
1,8,LTSS,15,19400000,76.6,2229000.0
1,8,PLAY,15,19400000,122.9,3576000.0
1,8,FAMILY,5,19400000,115.0,1116000.0
