user_id,month,jar,percent,income
0,1,NEC,50,13700000
0,1,FFA,20,13700000
0,1,EDU,5,13700000
0,1,LTSS,5,13700000
0,1,PLAY,15,13700000
0,1,HEALTH,5,13700000
0,2,NEC,50,13700000
0,2,FFA,20,13700000
0,2,EDU,5,13700000
0,2,LTSS,5,13700000
0,2,PLAY,15,13700000
0,2,HEALTH,5,13700000
0,3,NEC,50,13700000
0,3,FFA,20,13700000
0,3,EDU,5,13700000
0,3,LTSS,5,13700000
0,3,PLAY,15,13700000
0,3,HEALTH,5,13700000
0,4,NEC,50,13700000
0,4,FFA,20,13700000
0,4,EDU,5,13700000
0,4,LTSS,5,13700000
0,4,PLAY,15,13700000
0,4,HEALTH,5,13700000
0,5,NEC,45,13700000
0,5,FFA,10,13700000
0,5,EDU,5,13700000
0,5,LTSS,20,13700000
0,5,PLAY,10,13700000
0,5,GIVE,10,13700000
0,6,NEC,45,13700000
0,6,FFA,10,13700000
0,6,EDU,5,13700000
0,6,LTSS,20,13700000
0,6,PLAY,10,13700000
0,6,GIVE,10,13700000
0,7,NEC,45,13700000
0,7,FFA,10,13700000
0,7,EDU,5,13700000
0,7,LTSS,20,13700000
0,7,PLAY,10,13700000
0,7,GIVE,10,13700000
0,8,NEC,45,13700000
0,8,FFA,10,13700000
0,8,EDU,5,13700000
0,8,LTSS,20,13700000
0,8,PLAY,10,13700000
0,8,GIVE,10,13700000
0,9,NEC,45,13700000
0,9,FFA,10,13700000
0,9,EDU,15,13700000
0,9,LTSS,5,13700000
0,9,PLAY,15,13700000
0,9,GIVE,10,13700000
0,10,NEC,45,13700000
0,10,FFA,10,13700000
0,10,EDU,15,13700000
0,10,LTSS,5,13700000
0,10,PLAY,15,13700000
0,10,GIVE,10,13700000
0,11,NEC,45,13700000
0,11,FFA,10,13700000
0,11,EDU,15,13700000
0,11,LTSS,5,13700000
0,11,PLAY,15,13700000
0,11,GIVE,10,13700000
0,12,NEC,45,13700000
0,12,FFA,10,13700000
0,12,EDU,15,13700000
0,12,LTSS,5,13700000
0,12,PLAY,15,13700000
0,12,GIVE,10,13700000
1,1,NEC,55,19400000
1,1,FFA,15,19400000
1,1,EDU,5,19400000
1,1,LTSS,5,19400000
1,1,PLAY,5,19400000
1,1,FAMILY,15,19400000
1,2,NEC,55,19400000
1,2,FFA,15,19400000
1,2,EDU,5,19400000
1,2,LTSS,5,19400000
1,2,PLAY,5,19400000
1,2,FAMILY,15,19400000
1,3,NEC,55,19400000
1,3,FFA,15,19400000
1,3,EDU,5,19400000
1,3,LTSS,5,19400000
1,3,PLAY,5,19400000
1,3,FAMILY,15,19400000
1,4,NEC,55,19400000
1,4,FFA,15,19400000
1,4,EDU,5,19400000
1,4,LTSS,5,19400000
1,4,PLAY,5,19400000
1,4,FAMILY,15,19400000
1,5,NEC,45,19400000
1,5,FFA,10,19400000
1,5,EDU,10,19400000
1,5,LTSS,15,19400000
1,5,PLAY,15,19400000
1,5,FAMILY,5,19400000
1,6,NEC,45,19400000
1,6,FFA,10,19400000
1,6,EDU,10,19400000
1,6,LTSS,15,19400000
1,6,PLAY,15,19400000
1,6,FAMILY,5,19400000
1,7,NEC,45,19400000
1,7,FFA,10,19400000
1,7,EDU,10,19400000
