goal_id,user_id,goal_type,goal_priority,goal_horizon,target_amount,start_date,target_date,associated_jar,current_saved,completion_percent
1,0,saving,High,long,3729449999,2025-07-01,2028-02-16,FFA,2007247725,53.82
2,0,saving,Low,long,6432000000,2025-07-01,2028-10-13,DREAM,2096553544,32.6
3,0,spending,Low,short,2000000,2025-07-01,2025-07-31,FAMILY,544170,27.21
4,1,saving,High,long,6648180000,2025-07-01,2027-07-21,FFA,3657404968,55.01
5,1,saving,High,long,589380000,2025-07-01,2030-05-06,EMERGENCY,193539835,32.84
6,1,spending,Low,short,4000000,2025-07-01,2025-07-31,PLAY,1336476,33.41
7,2,saving,Medium,long,1052400000,2025-07-01,2026-09-24,FFA,596854688,56.71
8,2,saving,Low,long,6013500000,2025-07-01,2029-12-07,EMERGENCY,1523365736,25.33
9,2,spending,Low,short,1000000,2025-07-01,2025-07-31,FAMILY,416186,41.62
10,3,saving,High,short,6600000,2025-07-01,2026-05-27,LTSS,890859,13.5
11,3,saving,Medium,long,5647005000,2025-07-01,2027-02-21,DREAM,2509117410,44.43
12,4,saving,High,long,7205669999,2025-07-01,2029-08-09,LTSS,2987908889,41.47
13,4,saving,Low,long,5807880000,2025-07-01,2027-05-22,DREAM,865362950,14.9
14,5,saving,High,long,6528060000,2025-07-01,2029-10-08,LTSS,246760415,3.78
15,5,saving,Medium,long,2281440000,2025-07-01,2027-10-19,FFA,547079738,23.98
16,6,saving,High,long,1816500000,2025-07-01,2027-09-19,EMERGENCY,772056292,42.5
17,6,saving,Low,long,6294015000,2025-07-01,2026-12-23,DREAM,3437057430,54.61
18,6,spending,High,short,3000000,2025-07-01,2025-07-31,FAMILY,1235684,41.19
19,7,saving,Low,long,4031040000,2025-07-01,2029-05-11,EMERGENCY,836331841,20.75
20,7,saving,Medium,long,2156110000,2025-07-01,2029-03-12,LTSS,20285746,0.94
21,7,spending,High,short,3000000,2025-07-01,2025-07-31,EDU,1016371,33.88
22,8,saving,High,long,3914040000,2025-07-01,2027-03-23,DREAM,985173206,25.17
23,8,saving,Medium,short,17000000,2025-07-01,2025-11-28,LTSS,10094885,59.38
24,8,spending,High,short,5000000,2025-07-01,2025-07-31,NEC,1465393,29.31
25,9,saving,Medium,long,6671250000,2025-07-01,2029-09-08,DREAM,2671864066,40.05
26,9,saving,Low,long,6406500000,2025-07-01,2028-02-16,LTSS,184069238,2.87
27,10,saving,Low,long,5222700000,2025-07-01,2028-05-16,FFA,2514943135,48.15
28,10,saving,High,long,8034750000,2025-07-01,2029-09-08,LTSS,2761622872,34.37
29,10,spending,Low,short,3000000,2025-07-01,2025-07-31,HEALTH,457838,15.26
30,11,saving,High,long,6844109999,2025-07-01,2027-10-19,DREAM,2985174297,43.62
31,11,saving,Medium,long,9244200000,2025-07-01,2030-06-05,EMERGENCY,3911622977,42.31
32,11,spending,Low,short,3000000,2025-07-01,2025-07-31,FAMILY,572350,19.08
33,12,saving,High,long,7022250000,2025-07-01,2029-08-09,EMERGENCY,2831204537,40.32
34,12,saving,Medium,long,11187200000,2025-07-01,2030-06-05,DREAM,3887919000,34.75
35,12,spending,Low,short,5000000,2025-07-01,2025-07-31,EDU,1809277,36.19
36,13,saving,Low,long,1189230000,2025-07-01,2027-06-21,EMERGENCY,23957503,2.01
37,13,saving,Low,short,33600000,2025-07-01,2025-11-28,FFA,13208069,39.31
38,13,spending,Medium,short,5000000,2025-07-01,2025-07-31,EDU,2061608,41.23
39,14,saving,High,long,5083920000,2025-07-01,2029-07-10,FFA,2376408610,46.74
40,14,saving,High,long,10152840000,2025-07-01,2030-05-06,DREAM,1672881576,16.48
41,15,saving,Low,long,2007720000,2025-07-01,2026-08-25,EMERGENCY,190369077,9.48
42,15,saving,Low,long,8175600000,2025-07-01,2029-09-08,DREAM,1758061763,21.5
43,15,spending,High,short,1000000,2025-07-01,2025-07-31,HEALTH,49664,4.97
44,16,saving,Medium,long,7448760000,2025-07-01,2030-01-06,EMERGENCY,1904478996,25.57
45,16,saving,Medium,long,4099680000,2025-07-01,2026-10-24,FFA,1467726733,35.8
46,16,spending,High,short,5000000,2025-07-01,2025-07-31,EDU,480632,9.61
47,17,saving,High,long,3201599999,2025-07-01,2026-09-24,DREAM,310573415,9.7
48,17,saving,High,long,2907520000,2025-07-01,2028-09-13,LTSS,1602337256,55.11
49,17,spending,High,short,3000000,2025-07-01,2025-07-31,NEC,577445,19.25
50,18,saving,Low,long,279500000,2025-07-01,2027-03-23,LTSS,36690818,13.13
51,18,saving,High,long,7393540000,2025-07-01,2027-08-20,DREAM,259160420,3.51
52,19,saving,High,long,1292160000,2025-07-01,2028-07-15,EMERGENCY,99925522,7.73
53,19,saving,Medium,short,18750000,2025-07-01,2025-09-29,DREAM,7827820,41.75
54,19,spending,Low,short,5000000,2025-07-01,2025-07-31,PLAY,2682566,53.65
55,20,saving,Medium,long,5397210000,2025-07-01,2027-04-22,FFA,743537268,13.78
56,20,saving,Low,long,4678200000,2025-07-01,2029-06-10,DREAM,1610121305,34.42
57,20,spending,Medium,short,4000000,2025-07-01,2025-07-31,PLAY,1777172,44.43
58,21,saving,Medium,long,8066080000,2025-07-01,2028-07-15,LTSS,755145817,9.36
59,21,saving,Low,long,4889745000,2025-07-01,2030-01-06,DREAM,848133192,17.35
60,21,spending,High,short,4000000,2025-07-01,2025-07-31,GIVE,922697,23.07
61,22,saving,Low,long,1166790000,2025-07-01,2030-03-07,LTSS,568962446,48.76
62,22,saving,Low,long,3623750000,2025-07-01,2027-01-22,DREAM,699277217,19.3
63,23,saving,High,long,3463460000,2025-07-01,2027-11-18,LTSS,1871668979,54.04
64,23,saving,Medium,short,25410000,2025-07-01,2026-02-26,DREAM,5586373,21.98
65,23,spending,Low,short,2000000,2025-07-01,2025-07-31,PLAY,1183069,59.15
66,24,saving,High,long,7194960000,2025-07-01,2029-07-10,DREAM,730027733,10.15
67,24,saving,Medium,long,7216000000,2025-07-01,2028-07-15,FFA,4158398787,57.63
68,24,spending,Low,short,1000000,2025-07-01,2025-07-31,PLAY,156512,15.65
69,25,saving,Low,long,6042855000,2025-07-01,2030-03-07,FFA,2235559551,37.0
70,25,saving,Medium,long,5635500000,2025-07-01,2029-03-12,DREAM,2538455662,45.04
71,25,spending,High,short,5000000,2025-07-01,2025-07-31,FAMILY,2291722,45.83
72,26,saving,Low,long,1188179999,2025-07-01,2027-11-18,DREAM,15136846,1.27
73,26,saving,High,long,4998500000,2025-07-01,2026-12-23,EMERGENCY,858967353,17.18
74,26,spending,High,short,5000000,2025-07-01,2025-07-31,FAMILY,1632335,32.65
75,27,saving,High,short,47520000,2025-07-01,2025-12-28,EMERGENCY,16848267,35.46
76,27,saving,High,long,5469055000,2025-07-01,2030-02-05,FFA,1148724670,21.0
77,28,saving,High,short,35000000,2025-07-01,2025-09-29,LTSS,17033320,48.67
78,28,saving,High,long,1587960000,2025-07-01,2029-09-08,EMERGENCY,260288138,16.39
79,28,spending,Low,short,4000000,2025-07-01,2025-07-31,FAMILY,999622,24.99
80,29,saving,High,long,7331939999,2025-07-01,2027-07-21,LTSS,537122946,7.33
81,29,saving,Medium,long,360180000,2025-07-01,2029-11-07,DREAM,84849134,23.56
82,30,saving,High,long,2893500000,2025-07-01,2028-05-16,LTSS,1251421159,43.25
83,30,saving,Low,long,10024560000,2025-07-01,2028-12-12,FFA,3440737659,34.32
84,30,spending,Medium,short,3000000,2025-07-01,2025-07-31,HEALTH,1748145,58.27
85,31,saving,High,long,8302770000,2025-07-01,2029-07-10,EMERGENCY,2439172888,29.38
86,31,saving,Low,short,5500000,2025-07-01,2026-03-28,DREAM,3070213,55.82
87,31,spending,Low,short,4000000,2025-07-01,2025-07-31,EDU,1203088,30.08
88,32,saving,Medium,long,3203200000,2025-07-01,2027-06-21,FFA,1187819102,37.08
89,32,saving,Medium,long,3039600000,2025-07-01,2029-01-11,LTSS,811611545,26.7
90,32,spending,Low,short,3000000,2025-07-01,2025-07-31,FAMILY,118273,3.94
91,33,saving,Medium,long,7321500000,2025-07-01,2026-07-26,EMERGENCY,4065949333,55.53
92,33,saving,Low,short,53625000,2025-07-01,2026-04-27,LTSS,1804731,3.37
93,33,spending,High,short,3000000,2025-07-01,2025-07-31,EDU,1711455,57.05
94,34,saving,High,long,494560000,2025-07-01,2028-08-14,FFA,211482663,42.76
95,34,saving,High,short,28000000,2025-07-01,2025-10-29,DREAM,2382759,8.51
96,34,spending,High,short,4000000,2025-07-01,2025-07-31,HEALTH,2362298,59.06
97,35,saving,Medium,short,26219999,2025-07-01,2026-06-26,FFA,10305151,39.3
98,35,saving,Low,long,4202500000,2025-07-01,2030-06-05,DREAM,681367131,16.21
99,36,saving,High,long,7202160000,2025-07-01,2028-11-12,DREAM,2187290123,30.37
100,36,saving,Medium,long,827400000,2025-07-01,2027-06-21,LTSS,151849057,18.35
101,37,saving,High,long,4513980000,2025-07-01,2026-08-25,DREAM,1406036311,31.15
102,37,saving,High,long,5136495000,2025-07-01,2027-01-22,FFA,2543698072,49.52
103,37,spending,Low,short,5000000,2025-07-01,2025-07-31,PLAY,1309959,26.2
104,38,saving,High,short,45100000,2025-07-01,2025-10-29,FFA,18908308,41.93
105,38,saving,Medium,long,1177470000,2025-07-01,2029-09-08,LTSS,444815529,37.78
106,38,spending,Medium,short,4000000,2025-07-01,2025-07-31,HEALTH,397529,9.94
107,39,saving,Low,long,8365140000,2025-07-01,2029-09-08,EMERGENCY,1639747391,19.6
108,39,saving,Low,short,59400000,2025-07-01,2026-02-26,LTSS,11159614,18.79
109,39,spending,Medium,short,2000000,2025-07-01,2025-07-31,FAMILY,1189344,59.47
110,40,saving,Low,long,1142180000,2025-07-01,2027-01-22,DREAM,336752581,29.48
111,40,saving,Low,long,2917200000,2025-07-01,2029-03-12,EMERGENCY,294198234,10.08
112,41,saving,Medium,long,1542450000,2025-07-01,2027-01-22,FFA,404185632,26.2
113,41,saving,Low,short,61985000,2025-07-01,2026-03-28,DREAM,17489381,28.22
114,41,spending,Low,short,5000000,2025-07-01,2025-07-31,NEC,742951,14.86
115,42,saving,Medium,short,37200000,2025-07-01,2025-08-30,FFA,12918389,34.73
116,42,saving,High,long,332499999,2025-07-01,2027-09-19,LTSS,152426307,45.84
117,42,spending,High,short,1000000,2025-07-01,2025-07-31,GIVE,250056,25.01
118,43,saving,Medium,long,6012000000,2025-07-01,2026-07-26,DREAM,1156153708,19.23
119,43,saving,High,long,7014370000,2025-07-01,2029-01-11,FFA,3482059193,49.64
120,43,spending,Medium,short,1000000,2025-07-01,2025-07-31,GIVE,505521,50.55
121,44,saving,High,long,466899999,2025-07-01,2027-07-21,FFA,202208340,43.31
122,44,saving,Low,long,1320480000,2025-07-01,2028-11-12,LTSS,615080631,46.58
123,45,saving,Low,long,1604479999,2025-07-01,2028-06-15,FFA,496266449,30.93
124,45,saving,Low,long,6555120000,2025-07-01,2026-12-23,EMERGENCY,972562848,14.84
125,45,spending,Medium,short,5000000,2025-07-01,2025-07-31,EDU,1821443,36.43
126,46,saving,High,long,2171775000,2025-07-01,2028-02-16,LTSS,828147355,38.13
127,46,saving,High,long,7011360000,2025-07-01,2029-11-07,FFA,2981386140,42.52
128,47,saving,Medium,long,3624375000,2025-07-01,2027-12-18,DREAM,1170012032,32.28
129,47,saving,Medium,long,1842750000,2025-07-01,2027-09-19,LTSS,767757944,41.66
130,47,spending,High,short,1000000,2025-07-01,2025-07-31,NEC,471481,47.15
131,48,saving,Medium,long,8715600000,2025-07-01,2029-09-08,EMERGENCY,1070206440,12.28
132,48,saving,Low,long,6450400000,2025-07-01,2028-08-14,FFA,1918831488,29.75
133,48,spending,Medium,short,5000000,2025-07-01,2025-07-31,FAMILY,1704494,34.09
134,49,saving,High,long,6038200000,2025-07-01,2027-10-19,LTSS,764852348,12.67
135,49,saving,High,long,3694949999,2025-07-01,2028-04-16,DREAM,1537300880,41.61
136,49,spending,Medium,short,2000000,2025-07-01,2025-07-31,PLAY,537354,26.87
137,50,saving,Low,long,5945520000,2025-07-01,2028-10-13,FFA,3502315417,58.91
138,50,saving,Low,short,34375000,2025-07-01,2026-03-28,EMERGENCY,2707871,7.88
139,50,spending,High,short,4000000,2025-07-01,2025-07-31,FAMILY,727109,18.18
140,51,saving,Low,long,6294960000,2025-07-01,2028-11-12,DREAM,2035685844,32.34
141,51,saving,Medium,long,1017519999,2025-07-01,2027-08-20,EMERGENCY,118361595,11.63
142,52,saving,Medium,short,19800000,2025-07-01,2026-05-27,LTSS,11122496,56.17
143,52,saving,Medium,long,1317600000,2025-07-01,2029-09-08,FFA,652794887,49.54
144,52,spending,Low,short,5000000,2025-07-01,2025-07-31,NEC,46100,0.92
145,53,saving,Low,long,2133250000,2025-07-01,2027-07-21,FFA,988164204,46.32
146,53,saving,Low,long,3598560000,2025-07-01,2028-11-12,DREAM,80771888,2.24
147,53,spending,High,short,2000000,2025-07-01,2025-07-31,NEC,563511,28.18
148,54,saving,High,long,2502500000,2025-07-01,2027-04-22,LTSS,850994509,34.01
149,54,saving,Low,long,1236479999,2025-07-01,2027-09-19,EMERGENCY,414149404,33.49
150,54,spending,Medium,short,2000000,2025-07-01,2025-07-31,EDU,486509,24.33
151,55,saving,Low,long,5542560000,2025-07-01,2029-11-07,EMERGENCY,3075728176,55.49
152,55,saving,Medium,long,9628740000,2025-07-01,2029-08-09,FFA,1846955878,19.18
153,55,spending,Low,short,2000000,2025-07-01,2025-07-31,FAMILY,709977,35.5
154,56,saving,High,long,9022750000,2025-07-01,2029-05-11,DREAM,4332525390,48.02
155,56,saving,Low,short,25200000,2025-07-01,2025-08-30,EMERGENCY,8829155,35.04
156,56,spending,Medium,short,1000000,2025-07-01,2025-07-31,PLAY,536805,53.68
157,57,saving,Medium,short,46200000,2025-07-01,2026-04-27,DREAM,24386073,52.78
158,57,saving,High,short,48400000,2025-07-01,2026-03-28,LTSS,22629102,46.75
159,57,spending,High,short,4000000,2025-07-01,2025-07-31,PLAY,357138,8.93
160,58,saving,Low,long,5570370000,2025-07-01,2026-12-23,FFA,983528903,17.66
161,58,saving,High,short,24750000,2025-07-01,2026-01-27,LTSS,14612613,59.04
162,59,saving,High,long,2585330000,2025-07-01,2030-01-06,EMERGENCY,1299883057,50.28
163,59,saving,Low,long,1477320000,2025-07-01,2027-05-22,FFA,663406433,44.91
164,59,spending,High,short,2000000,2025-07-01,2025-07-31,NEC,441686,22.08
165,60,saving,High,long,5140080000,2025-07-01,2026-11-23,LTSS,825073788,16.05
166,60,saving,Medium,short,29095000,2025-07-01,2026-02-26,DREAM,5412423,18.6
167,60,spending,High,short,5000000,2025-07-01,2025-07-31,HEALTH,1863316,37.27
168,61,saving,Medium,short,59125000,2025-07-01,2026-01-27,DREAM,34149597,57.76
169,61,saving,High,long,1074560000,2025-07-01,2028-07-15,FFA,379700291,35.34
170,61,spending,Medium,short,3000000,2025-07-01,2025-07-31,NEC,1165144,38.84
171,62,saving,Low,long,5960250000,2025-07-01,2029-08-09,LTSS,305883580,5.13
172,62,saving,Low,short,42000000,2025-07-01,2025-09-29,FFA,19063280,45.39
173,62,spending,Medium,short,3000000,2025-07-01,2025-07-31,HEALTH,567896,18.93
174,63,saving,High,long,6443000000,2025-07-01,2029-01-11,DREAM,2179130811,33.82
175,63,saving,Low,short,15840000,2025-07-01,2026-06-26,FFA,3516087,22.2
176,63,spending,Medium,short,3000000,2025-07-01,2025-07-31,GIVE,1755430,58.51
177,64,saving,High,long,2505625000,2025-07-01,2030-03-07,DREAM,207765181,8.29
178,64,saving,Low,long,7233720000,2025-07-01,2027-03-23,LTSS,192142346,2.66
179,64,spending,Low,short,4000000,2025-07-01,2025-07-31,GIVE,439923,11.0
180,65,saving,Medium,long,3843840000,2025-07-01,2027-07-21,FFA,146265265,3.81
181,65,saving,Medium,long,3147125000,2025-07-01,2029-03-12,EMERGENCY,741908947,23.57
182,65,spending,High,short,4000000,2025-07-01,2025-07-31,EDU,1327262,33.18
183,66,saving,Medium,long,3247500000,2025-07-01,2028-04-16,LTSS,662408971,20.4
184,66,saving,Low,long,7171514999,2025-07-01,2027-04-22,DREAM,1525838446,21.28
185,67,saving,High,long,1251249999,2025-07-01,2027-06-21,FFA,511124264,40.85
186,67,saving,Low,long,1728900000,2025-07-01,2029-01-11,EMERGENCY,477464365,27.62
187,67,spending,Low,short,4000000,2025-07-01,2025-07-31,PLAY,676974,16.92
188,68,saving,Medium,long,1076400000,2025-07-01,2029-06-10,DREAM,293641655,27.28
189,68,saving,Low,short,36800000,2025-07-01,2025-07-31,EMERGENCY,5890040,16.01
190,68,spending,Medium,short,3000000,2025-07-01,2025-07-31,EDU,1218112,40.6
191,69,saving,Medium,long,3529349999,2025-07-01,2028-04-16,DREAM,2072468529,58.72
192,69,saving,Low,long,6692000000,2025-07-01,2027-08-20,LTSS,2297836975,34.34
193,69,spending,Low,short,5000000,2025-07-01,2025-07-31,HEALTH,898168,17.96
194,70,saving,Medium,long,7683000000,2025-07-01,2026-12-23,LTSS,3519462875,45.81
195,70,saving,High,short,49679999,2025-07-01,2026-06-26,EMERGENCY,2041708,4.11
196,70,spending,Medium,short,1000000,2025-07-01,2025-07-31,PLAY,539685,53.97
197,71,saving,High,long,3388000000,2025-07-01,2028-07-15,LTSS,1555392680,45.91
